"BehaviorSpace results (NetLogo 6.1.1)"
"model-1-exp.nlogo"
"experiment-25Sept2021-b"
"09/25/2021 01:36:36:400 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","[step]","number-of-people","number-of-built-systems","max-access-potential","min-access-potential","built-sys-state-min","built-sys-state-max","random-damage-limit","network-radius","seek-capability-when","share-access-potential","capability-call-help","capability-high","capability-low","capability-lim","built-sys-capability-output","built-sys-operation-threshold","sum-access-potential","avg-network-size","avg-built-sys-links-per-person","global-mean-capability-attainment","stdev-global-capability-attainment","capability-good-level-%","capability-acceptable-level-%","capability-unacceptable-level-%","avg-built-sys-state","stdev-built-sys-state","aggr-system-damages","aggr-system-recoveries","aggr-capability-provided","aggr-capability-help","aggr-access-potential-transferred","access-potential-initial-global-mean","access-potential-initial-global-stdev","max-global-mean-capability-attainment","min-global-mean-capability-attainment","max-global-mean-system-state","min-global-mean-system-state","access-potential-final-global-mean","access-potential-final-global-stdev"
"3","1015","200","12","1","0","0.3","0.9","27.24","45","avg-capability-attainment < capability-high","yes, through personal transfers","false","0.75","0.5","0.25","capability-high","0.2","100.21999999999997","6.325","4.755","0","0","0","0","100","0.15475663894126282","0.04366616694863061","25781.86593514125","25988.190300000013","83208","0","2380.5036977123477","0.5011000000000001","0.289237066092868","0.56625","0","0.581432167545408","0.15475663894126282","0.5011000000000004","0.2892370660928679"
"4","1818","200","12","1","0","0.3","0.9","16.72","45","avg-capability-attainment < capability-high","no","true","0.75","0.5","0.25","capability-high","0.2","100.32000000000002","6.355","5.405","0","0","0","0","100","0.16263374814091353","0.04007139940082667","51469.96396529092","48647.586400000015","172422.75866455096","21657.00866455081","0","0.5016","0.280006173657711","0.6290810546875001","0","0.6458965491271161","0.16263374814091353","0.5016","0.280006173657711"
"5","3000","200","12","1","0","0.3","0.9","9.15","45","avg-capability-attainment < capability-high","no","true","0.75","0.5","0.25","capability-high","0.2","103.07000000000002","6.615","5.46","0.48691874999999996","0.16083942692857078","59","33","8","0.27471595889638795","0.15602560507656374","66165.6290232895","72204.23419999996","315695.51901611337","41863.76901611336","0","0.5153500000000001","0.28759071542382925","0.6337679687499999","0.4730275390624999","0.5749857695090156","0.27471595889638795","0.5153500000000001","0.2875907154238293"
"1","3000","200","12","1","0","0.3","0.9","4.6","45","avg-capability-attainment < capability-high","no","true","0.75","0.5","0.25","capability-high","0.2","105.33999999999999","6.35","5.66","0.5690510253906249","0.13741523343850154","79.5","19","1.5","0.7100426713389791","0.14308441869065555","32609.278975704332","40513.00110000017","329337.13717773434","38229.88717773429","0","0.5266999999999998","0.29847200486551884","0.6376771484374999","0.5009531250000001","0.7100730118251662","0.6037971198290972","0.5267000000000001","0.29847200486551884"
"10","1268","200","12","1","0","0.3","0.9","24.88","45","avg-capability-attainment < capability-high","yes, through personal transfers","false","0.75","0.5","0.25","capability-high","0.2","102.21000000000002","6.525","4.825","0","0","0","0","100","0.16996683882923777","0.04064026961005935","33025.12902931164","33715.96950000001","112623","0","4047.8999147421837","0.5110499999999998","0.29342441434664795","0.5953125","0","0.7001252214682911","0.16996683882923777","0.5110499999999999","0.293424414346648"
"9","3000","200","12","1","0","0.3","0.9","1.83","45","avg-capability-attainment < capability-high","yes, through a community fund","false","0.75","0.5","0.25","capability-high","0.2","99.05000000000003","6.395","5.27","0.5690625","0.12800985296464565","88.5","8","3.5000000000000004","0.8492455546315599","0.09693483973632054","24811.677718752748","33784.84280000006","328843.5","0","177302.38325611097","0.49525000000000025","0.2956025062622824","0.628125","0.49958437500000025","0.8492455546315597","0.5881008848460194","0.4952499999999989","1.446911744312132E-15"
"6","3000","200","12","1","0","0.3","0.9","10.45","45","avg-capability-attainment < capability-high","yes, through personal transfers","false","0.75","0.5","0.25","capability-high","0.2","102.98000000000008","6.455","5.83","0.3253125","0.24470664129775066","36","19.5","44.5","0.19620897005349577","0.12642047137301404","71327.35937473265","76584.1005","266259.75","0","10141.04917331553","0.5149000000000001","0.28398809161812494","0.5990625","0.3178125","0.5389422937305796","0.19620897005349577","0.5149000000000004","0.2798251127586132"
"2","3000","200","12","1","0","0.3","0.9","5.88","45","avg-capability-attainment < capability-high","yes, through personal transfers","false","0.75","0.5","0.25","capability-high","0.2","97.48000000000006","6.425","5.1","0.474375","0.23620797065723692","69","11.5","19.5","0.6852536245511992","0.20337095236597133","32035.35548347773","39813.283099999964","276403.5","0","10909.830978836273","0.48739999999999983","0.29411692202098033","0.5559375","0.425625","0.685340035887788","0.6050488649762887","0.4873999999999999","0.27472271479293725"
"8","3000","200","12","1","0","0.3","0.9","2.78","45","avg-capability-attainment < capability-high","yes, through personal transfers","false","0.75","0.5","0.25","capability-high","0.2","94.62999999999995","5.75","5.4","0.50625","0.20846938606093474","71","15","14.000000000000002","0.7575106182002735","0.14428214068468848","30229.450391368864","38641.36810000002","293797.5","0","13701.166758665719","0.4731500000000002","0.2805335503363575","0.571875","0.455625","0.7575106182002735","0.6044787671376177","0.4731500000000002","0.2461112329989603"
"7","3000","200","12","1","0","0.3","0.9","5.04","45","avg-capability-attainment < capability-high","yes, through personal transfers","false","0.75","0.5","0.25","capability-high","0.2","96.71000000000002","5.715","5.66","0.4978125","0.1847449922312445","69","20.5","10.5","0.6850186386751105","0.17690821460643652","38243.85101273345","46322.54930000008","296124.75","0","15863.334314255264","0.48355000000000004","0.2932059791872529","0.5803125","0.46125","0.6850245159763876","0.6044454425095364","0.4835500000000003","0.23980700874896288"
"15","1072","200","12","1","0","0.3","0.9","28.08","45","avg-capability-attainment < capability-high","no","false","0.75","0.5","0.25","capability-high","0.2","101.31000000000002","6.56","5.26","0","0","0","0","100","0.15953533441703635","0.037891624626981806","26916.70214134685","27101.92019999999","88674.75","0","0","0.5065500000000001","0.28445592517441814","0.5840625","0","0.6750164046389521","0.15953533441703635","0.5065500000000002","0.2844559251744181"
